"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 70 MHz","70 MHz","36","0","HA8MV","KN06GU","2951","13","2779","12","","5,8 %","0","0,0 %","91,7 %","0,0 %","S57TW","483","0","PWR(W): 50","TRX:","Ant: 5el. DK7ZB","ASL(m): 84","",
"SO 70 MHz","70 MHz","37","0","2E0OUT","IO81WO","2715","18","2591","17","","4,6 %","0","0,0 %","0,0 %","0,0 %","GM4ZUK/P","594","0","PWR(W): 50","TRX: 7300","Ant: 13ell  duel","ASL(m): 94","",
"SO 70 MHz","70 MHz","38","0","G4CSD","IO91KG","2526","25","2526","25","","0,0 %","0","0,0 %","0,0 %","0,0 %","G4LPP","248","0","PWR(W): 40","TRX: Icom IC-7300","Ant: 5 ele","ASL(m): 117","",
"SO 70 MHz","70 MHz","39","0","GM4DIJ","IO85IW","2219","7","2098","6","","5,5 %","0","0,0 %","0,0 %","0,0 %","MW1B","445","0","PWR(W): 160","TRX: IC7300+SSPA","Ant: 6 el yagi","ASL(m): 69","",
"SO 70 MHz","70 MHz","40","0","G8VPE","JO02TP","2747","13","2095","11","","23,7 %","0","0,0 %","9,1 %","0,0 %","MW8R","338","0","PWR(W): 50","TRX: IC7300","Ant: PA5070-7-3B","ASL(m): 7","",
"SO 70 MHz","70 MHz","41","0","G0OIW/P","IO91LO","2207","31","2019","29","","8,5 %","0","0,0 %","0,0 %","0,0 %","G0JBA","166","0","PWR(W): 20","TRX: FT-710","Ant: Dipole","ASL(m): 230","",
"SO 70 MHz","70 MHz","42","0","DH8BQA","JO73CE","1923","11","1923","11","","0,0 %","7","18,8 %","45,5 %","0,0 %","DL6BF","469","0","PWR(W): 20","TRX:","Ant: 6 ele LFA Yagi","ASL(m): 58","",
"SO 70 MHz","70 MHz","43","0","GW4ZAR","IO83KF","1751","9","1602","8","","8,5 %","0","0,0 %","12,5 %","0,0 %","G0VHF/P","336","0","PWR(W): 50","TRX: IC7300","Ant: 4 ele OWL","ASL(m): 35m","",
"SO 70 MHz","70 MHz","44","0","2E0MDJ","IO81WV","1478","14","1478","14","","0,0 %","0","0,0 %","0,0 %","0,0 %","G0VHF/P","235","0","PWR(W): 50","TRX: Icom IC-7300","Ant: 3 Ele LFA-Q","ASL(m): 68","",
"SO 70 MHz","70 MHz","45","0","G3ZNU","IO91PQ","1501","19","1410","17","","6,1 %","0","0,0 %","5,9 %","0,0 %","MW8R","211","0","PWR(W): 50","TRX: FTdx10","Ant: 2 ele Moxon","ASL(m): 200","",
"SO 70 MHz","70 MHz","46","0","PE1EWR","JO11SL","1568","9","1111","7","","29,1 %","2","2,2 %","0,0 %","0,0 %","G4ODA","289","0","PWR(W): 40","TRX:","Ant: 4-4EPS6 4","ASL(m): 0","",
"SO 70 MHz","70 MHz","47","0","G4KQY","JO02OP","1459","9","1064","7","","27,1 %","0","0,0 %","0,0 %","0,0 %","MW8R","310","0","PWR(W): 40","TRX: yaesu ftdx101mp","Ant: 6 ele yagi","ASL(m): 30","",
"SO 70 MHz","70 MHz","48","0","DL8LR","JN39PN","1531","4","1037","3","","32,3 %","0","0,0 %","0,0 %","0,0 %","G4ODA","628","0","PWR(W): 5","TRX:","Ant: 2 El. Yagi","ASL(m): 0","",
"SO 70 MHz","70 MHz","49","0","G0NZI","IO92GM","706","9","706","9","","0,0 %","0","0,0 %","0,0 %","0,0 %","G0VHF/P","202","0","PWR(W): 40","TRX: IC-705 & EA7HG transverter","Ant: Halo","ASL(m): 94","",
"SO 70 MHz","70 MHz","50","0","G4JED","JO01CF","680","6","680","6","","0,0 %","0","0,0 %","0,0 %","0,0 %","M1L","166","0","PWR(W): 10","TRX: FT-847","Ant: 4 ele Yagi","ASL(m): 47","",
"SO 70 MHz","70 MHz","51","0","HA5MA","JN97MK","523","5","523","5","","0,0 %","0","0,0 %","60,0 %","0,0 %","HA1YA","190","0","PWR(W): 50","TRX:","Ant: 3el. Yagi","ASL(m): 122","",
"SO 70 MHz","70 MHz","52","0","HG8YKO","KN06GU","402","4","402","4","","0,0 %","0","0,0 %","0,0 %","0,0 %","YO5KAI","172","0","PWR(W): 50","TRX:","Ant: hb9cw","ASL(m): 85","",
"SO 70 MHz","70 MHz","53","0","HA5HK","JN97PL","170","3","170","3","","0,0 %","0","0,0 %","66,7 %","0,0 %","HA8MV","118","0","PWR(W): 10","TRX:","Ant: R5 vertical","ASL(m): 130","",
"SO 70 MHz","70 MHz","54","0","2E0RVX","IO93GI","256","8","127","7","","50,4 %","0","0,0 %","0,0 %","0,0 %","G6K","39","0","PWR(W): 10","TRX: Icom IC-7300","Ant: J Beam 4 ele","ASL(m): 137","",
"SO 70 MHz","70 MHz","55","0","EA3DJL","JN11CP","112","3","112","3","","0,0 %","1","4,5 %","0,0 %","0,0 %","EA3LA","98","0","PWR(W): 50","TRX:","Ant: yagui 3 ele","ASL(m):","",
"SO 70 MHz","70 MHz","56","0","LZ1IQ","KN12PQ","35","1","35","1","","0,0 %","1","100,0 %","0,0 %","0,0 %","LZ9A","35","0","PWR(W): 10","TRX:","Ant: 4el DK7ZB","ASL(m): 600","",
"SO 70 MHz","70 MHz","57","0","EA3EBN","JN11DO","9","1","9","1","","0,0 %","0","0,0 %","0,0 %","0,0 %","EA3DJL","9","0","PWR(W): 40","TRX:","Ant: yagui 3 ele","ASL(m):","",
