"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","60","0","OK1DCI","JO70EB","3745","30","3528","28","","5,8 %","0","0,0 %","28,6 %","0,0 %","OM5AW","330","0","PWR(W): 100","TRX: IC9700","Ant: F9FT 35el","ASL(m): 315","",
"SO 1.3 GHz","1.3 GHz","61","0","OK1VSJ","JN69IS","3494","16","3494","16","","0,0 %","0","0,0 %","31,3 %","0,0 %","OM5AW","422","0","PWR(W): 100","TRX: ICOM IC-9700 + PA 100W","Ant: 2 x 28el. Loop Yagi","ASL(m): 500","",
"SO 1.3 GHz","1.3 GHz","62","0","DL4SBK","JN48PV","3617","19","3254","18","","10,0 %","0","0,0 %","0,0 %","0,0 %","IK3GHY","439","0","PWR(W): 0","TRX:","Ant: 37 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","63","0","IK7JNM","JN80XO","3569","9","3044","8","","14,7 %","1","4,3 %","25,0 %","0,0 %","IN3XSV","795","0","PWR(W): 10","TRX: IC9700","Ant: 23 tonna","ASL(m): 50","",
"SO 1.3 GHz","1.3 GHz","64","0","DL8UWE","JO71DT","3448","15","3004","13","","12,9 %","0","0,0 %","46,2 %","0,0 %","S59P","593","0","PWR(W): 300","TRX:","Ant: 55ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","65","0","DL6ZXG","JO51KU","2976","26","2976","26","","0,0 %","1","4,5 %","7,7 %","0,0 %","OM3KII","589","0","PWR(W): 20","TRX:","Ant: 44 Element","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","66","0","OK2PNQ","JN89LE","2975","22","2975","22","","0,0 %","0","0,0 %","68,2 %","0,0 %","S59P","296","0","PWR(W): 10","TRX: FT817+transv.","Ant: 37el.loop Yagi","ASL(m): 260","",
"SO 1.3 GHz","1.3 GHz","67","0","OM1TF","JN88NG","3126","15","2970","14","","5,0 %","1","1,1 %","100,0 %","0,0 %","DK0NA","461","0","PWR(W): 10","TRX: TS790E","Ant: 55 el F9FT","ASL(m): 557","",
"SO 1.3 GHz","1.3 GHz","68","0","HA5OLA","JN97IL","3700","17","2953","13","","20,2 %","0","0,0 %","0,0 %","0,0 %","DK0NA","609","0","PWR(W): 60","TRX:","Ant: 2x29 element Yagi","ASL(m): 0","",
"SO 1.3 GHz","1.3 GHz","69","0","SP9SOO","JN99OV","3492","15","2832","13","","18,9 %","0","0,0 %","0,0 %","0,0 %","DM5D","446","0","PWR(W): 50","TRX:","Ant: DISH 0.9m","ASL(m): 270","",
"SO 1.3 GHz","1.3 GHz","70","0","HB9MDP","JN47OG","2966","17","2785","16","","6,1 %","2","7,5 %","0,0 %","0,0 %","OK2A","436","0","PWR(W): 17","TRX:","Ant: 38El Yagi","ASL(m): 1520","",
"SO 1.3 GHz","1.3 GHz","71","0","LZ2QA","KN43EK","3104","12","2661","10","","14,3 %","0","0,0 %","30,0 %","0,0 %","R6KW","509","0","PWR(W): 50","TRX:","Ant: 70 EL YU1CF","ASL(m): 130","",
"SO 1.3 GHz","1.3 GHz","72","0","YO3FWL","KN24XL","2645","14","2645","14","","0,0 %","0","0,0 %","0,0 %","0,0 %","R6KW","674","0","PWR(W): 20","TRX:","Ant: DJ9BV","ASL(m): 100","",
"SO 1.3 GHz","1.3 GHz","73","0","HA3FMR","JN97NM","2610","9","2610","9","","0,0 %","0","0,0 %","100,0 %","0,0 %","OK2A","562","0","PWR(W): 100","TRX:","Ant: 56 el. Yagi","ASL(m): 125","",
"SO 1.3 GHz","1.3 GHz","74","0","YR3T","KN34CI","2583","13","2583","13","","0,0 %","0","0,0 %","0,0 %","0,0 %","R6KW","656","0","PWR(W): 20","TRX:","Ant: PA1296-18-1.5RB","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","75","0","DH3NAN","JO50NC","2618","9","2553","8","","2,5 %","0","0,0 %","50,0 %","0,0 %","IQ1KW","675","0","PWR(W): 200","TRX:","Ant: 4 x 23 el.","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","76","0","OK1JFP","JO60XS","2647","27","2537","26","","4,2 %","0","0,0 %","0,0 %","0,0 %","OL9W","336","0","PWR(W): 10","TRX:","Ant: SBF by OK2JI","ASL(m): 690","",
"SO 1.3 GHz","1.3 GHz","77","0","DJ4WT","JN49EL","2535","7","2535","7","","0,0 %","0","0,0 %","42,9 %","0,0 %","OL9W","710","0","PWR(W): 0","TRX:","Ant: 44 el.","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","78","0","IK1YNZ","JN33UT","2517","9","2517","9","","0,0 %","0","0,0 %","0,0 %","0,0 %","IT9DJF","753","0","PWR(W): 200","TRX: IC-9700","Ant: 2 X 55","ASL(m): 100","",
