"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 50 MHz","50 MHz","36","0","YO6FNA","KN36BA","209009","151","192767","138","","7,8 %","7","5,4 %","32,6 %","0,0 %","GM0ULK/P","2279","0","PWR(W): 300","TRX:","Ant: Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","37","0","IZ5EME","JN52NS","196665","160","190903","156","","2,9 %","3","2,5 %","0,0 %","0,0 %","ES1OV","2078","0","PWR(W): 500","TRX:","Ant: 7jxx","ASL(m): 10","",
"SO 50 MHz","50 MHz","38","0","SM5EPO","JP80MC","199140","116","188309","110","","5,4 %","4","2,8 %","25,5 %","0,0 %","EA3LA","2193","0","PWR(W): 200","TRX:","Ant: 6el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","39","0","2E0NEY","IO81VK","197944","179","187370","169","","5,3 %","2","0,8 %","0,0 %","0,0 %","YO3AF","2228","0","PWR(W): 100","TRX: IC-7300","Ant: 5 ele","ASL(m): 140","",
"SO 50 MHz","50 MHz","40","0","OE5D","JN68PC","189329","191","186373","188","","1,6 %","2","1,1 %","26,1 %","0,0 %","EA8CTK","3393","0","PWR(W): 100","TRX:","Ant: 6Ele.Yagi","ASL(m): 700","",
"SO 50 MHz","50 MHz","41","0","LY2HS","KO25UO","200243","128","183405","117","","8,4 %","1","0,8 %","25,6 %","0,0 %","4X2M","2641","0","PWR(W): 100","TRX:","Ant: 2el","ASL(m): 0","",
"SO 50 MHz","50 MHz","42","0","UT5ERP","KN77AQ","195132","136","174923","122","","10,4 %","2","1,8 %","13,9 %","0,0 %","EA3LA","2511","0","PWR(W): 500","TRX:","Ant: 4 el Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","43","0","PA5WT","JO22HG","184335","143","173334","132","","6,0 %","0","0,0 %","53,8 %","0,0 %","R6KA","2389","0","PWR(W): 100","TRX:","Ant: YAGI","ASL(m): 6","",
"SO 50 MHz","50 MHz","44","0","PA0O","JO33HG","199010","156","171343","135","","13,9 %","5","1,9 %","49,6 %","0,0 %","R6KA","2273","0","PWR(W): 120","TRX:","Ant: 5el","ASL(m): 0","",
"SO 50 MHz","50 MHz","45","0","S57Q","JN76PA","179284","203","170636","192","","4,8 %","5","3,3 %","21,4 %","0,0 %","EA8CTK","3424","0","PWR(W): 100","TRX: TS 590 SG","Ant: 10 el. Yagi","ASL(m): 560","",
"SO 50 MHz","50 MHz","46","0","G4AFF","JO02LO","169707","164","167500","160","","1,3 %","4","1,5 %","10,6 %","0,0 %","SV3RPQ","2279","0","PWR(W): 500","TRX: K3 + amp","Ant: 13ele dual-band","ASL(m): 59","",
"SO 50 MHz","50 MHz","47","0","YO3AF","KN34AK","176510","121","166537","114","","5,7 %","3","2,9 %","0,0 %","0,0 %","GM4JTJ","2407","0","PWR(W): 100","TRX:","Ant: 3 el. Yagi","ASL(m): 70","",
"SO 50 MHz","50 MHz","48","0","M7DQO/P","JO03AH","179457","150","163042","138","","9,1 %","4","2,4 %","0,0 %","0,0 %","YO4FZX","2222","0","PWR(W): 10","TRX: icom IC7100","Ant: 4 element yagi","ASL(m): 110 meters","",
"SO 50 MHz","50 MHz","49","0","EA3EBN","JN11CU","174182","121","152729","107","","12,3 %","1","0,8 %","0,0 %","0,0 %","4X2M","3053","0","PWR(W): 200","TRX:","Ant: 4 ele yagui","ASL(m): 650","",
"SO 50 MHz","50 MHz","50","0","UT3WX","KN19XV","167931","108","151974","98","","9,5 %","2","2,3 %","29,6 %","0,0 %","ED5R","2240","0","PWR(W): 50","TRX:","Ant: 5 el. DK7ZB","ASL(m):","",
"SO 50 MHz","50 MHz","51","0","LZ2QA","KN43EK","167257","111","148751","99","","11,1 %","6","6,5 %","52,5 %","0,0 %","ED5R","2403","0","PWR(W): 100","TRX:","Ant: 2 el. yagi","ASL(m): 130","",
"SO 50 MHz","50 MHz","52","0","F8ATS","JN18DP","157934","127","147536","120","","6,6 %","3","0,1 %","26,7 %","0,0 %","LZ2GA","2084","0","PWR(W): 100","TRX:","Ant: 5 EL","ASL(m): 182","",
"SO 50 MHz","50 MHz","53","0","GM4DIJ/P","IO74MU","169886","112","147146","97","","13,4 %","3","0,5 %","0,0 %","0,0 %","LZ2ZY","2358","0","PWR(W): 250","TRX: IC7300+SSPA","Ant: 5 element","ASL(m): 89","",
"SO 50 MHz","50 MHz","54","0","DL2OM","JO30SN","166419","157","143618","140","","13,7 %","14","12,2 %","32,9 %","0,0 %","R6KA","2170","0","PWR(W): 750","TRX:","Ant: 5 El. Duoband","ASL(m): 400","",
"SO 50 MHz","50 MHz","55","0","YO9HP","KN35BA","151855","119","142649","112","","6,1 %","1","1,6 %","43,8 %","0,0 %","G8XVJ/P","2218","0","PWR(W): 400","TRX:","Ant: 8 EL LFA","ASL(m): 200 m","",
"SO 50 MHz","50 MHz","56","0","YO7LBX","KN15PB","156257","122","142158","112","","9,0 %","5","3,9 %","0,0 %","0,0 %","TM1W","2099","0","PWR(W): 100","TRX:","Ant: YAGI 5EL.","ASL(m): 200","",
"SO 50 MHz","50 MHz","57","0","YO8SAO","KN36KN","152170","102","142094","95","","6,6 %","2","2,4 %","0,0 %","0,0 %","ED5R","2330","0","PWR(W): 400","TRX:","Ant: LFA 3EL","ASL(m): 180","",
"SO 50 MHz","50 MHz","58","0","US4MAO","KN98PM","145325","86","140807","83","","3,1 %","2","2,4 %","0,0 %","0,0 %","G8T","3187","0","PWR(W): 100","TRX:","Ant: 6EL","ASL(m):","",
"SO 50 MHz","50 MHz","59","0","YO5DAS","KN17DO","169309","116","138707","96","","18,1 %","6","4,8 %","22,9 %","0,0 %","GM4ODA/P","2047","0","PWR(W): 100","TRX: FT897D","Ant: DK7ZB","ASL(m): 137","",
"SO 50 MHz","50 MHz","60","0","IZ0DHC","JN62BK","148877","119","136561","108","","8,3 %","1","1,6 %","8,3 %","0,0 %","OH1Z","2251","0","PWR(W): 50","TRX:","Ant: 2elementi 6mt","ASL(m): 320","",
"SO 50 MHz","50 MHz","61","0","E77Z","JN93DQ","149911","116","136440","107","","9,0 %","2","2,9 %","3,7 %","0,0 %","GM4CXM","2105","0","PWR(W): 100","TRX:","Ant: Moxon","ASL(m): 1680","",
"SO 50 MHz","50 MHz","62","0","CR5M","IN61CB","150766","97","135988","88","","9,8 %","4","3,6 %","0,0 %","0,0 %","4X2M","3878","0","PWR(W): 50","TRX:","Ant: yagi","ASL(m):","",
"SO 50 MHz","50 MHz","63","0","F6KOP","JN18PN","143246","127","132467","118","","7,5 %","2","1,0 %","0,0 %","0,0 %","UT9CZ","2047","0","PWR(W): 120","TRX:","Ant: 7 ELE YU1CF","ASL(m): 148","",
"SO 50 MHz","50 MHz","64","0","SP6OJK","JO80XR","138384","110","132385","106","","4,3 %","2","2,5 %","0,0 %","0,0 %","M6LWO","2194","0","PWR(W): 500","TRX:","Ant: 5el. Yagi","ASL(m):","",
"SO 50 MHz","50 MHz","65","0","SP9RQH","JO90TC","141723","110","131222","103","","7,4 %","1","1,2 %","5,8 %","0,0 %","ED5R","1978","0","PWR(W): 100","TRX:","Ant: 5 EL YAGI","ASL(m):","",
"SO 50 MHz","50 MHz","66","0","SQ8NGX","KO10DN","144691","94","128996","82","","10,8 %","3","3,6 %","0,0 %","0,0 %","EA2T","2117","0","PWR(W): 100","TRX:","Ant: 6EL Yagi","ASL(m): 212","",
"SO 50 MHz","50 MHz","67","0","M3C","IO91VH","131343","116","126230","112","","3,9 %","2","1,5 %","0,0 %","0,0 %","4X2M","3514","0","PWR(W): 600","TRX: IC7100 + PA","Ant: 5ele Tonna","ASL(m): 160","",
"SO 50 MHz","50 MHz","68","0","F1DHX","IN94MP","133716","100","125774","95","","5,9 %","2","1,0 %","0,0 %","0,0 %","UX0FF","2333","0","PWR(W): 100","TRX:","Ant: YAGI 6 ELEMENTS","ASL(m): 24","",
"SO 50 MHz","50 MHz","69","0","OK1WQ","JN79FX","132866","127","125604","115","","5,5 %","5","5,1 %","39,1 %","0,0 %","D4L","5091","0","PWR(W): 100","TRX:","Ant: 5el","ASL(m):","",
"SO 50 MHz","50 MHz","70","0","EA2T","IN83FD","131696","78","125271","75","","4,9 %","0","0,0 %","5,3 %","0,0 %","D4L","3555","0","PWR(W): 100","TRX:","Ant: yagi 5el dk7zb","ASL(m): 1500","",
"SO 50 MHz","50 MHz","71","0","IU5ICR","JN53HO","132978","122","125048","116","","6,0 %","3","1,2 %","0,0 %","0,0 %","OH5Z","2177","0","PWR(W): 100","TRX:","Ant: 4 elem.yagi","ASL(m): 15","",
"SO 50 MHz","50 MHz","72","0","YO4RFV","KN45AK","133901","94","124651","87","","6,9 %","1","1,9 %","26,4 %","0,0 %","EA5DF","2421","0","PWR(W): 100","TRX:","Ant: EA642ZB7","ASL(m): 50m","",
"SO 50 MHz","50 MHz","73","0","IK2AQZ","JN45MS","131733","130","121410","119","","7,8 %","2","0,0 %","0,0 %","0,0 %","R6KA","2075","0","PWR(W): 100","TRX:","Ant: yagi 6 el","ASL(m): 300","",
"SO 50 MHz","50 MHz","74","0","YO2NAA","KN05NS","121041","92","117368","89","","3,0 %","2","3,3 %","28,1 %","0,0 %","GM4DIJ/P","2093","0","PWR(W): 100","TRX:","Ant: Delta Loop","ASL(m): 80","",
"SO 50 MHz","50 MHz","75","0","ES2MC","KO29GG","119446","75","114753","72","","3,9 %","1","1,4 %","68,1 %","0,0 %","EA3LA","2397","0","PWR(W): 300","TRX:","Ant: 5 el","ASL(m):","",
"SO 50 MHz","50 MHz","76","0","YU7YZ","JN95TI","117296","107","114060","102","","2,8 %","2","3,3 %","34,3 %","0,0 %","MM0BGW/P","2116","0","PWR(W): 100","TRX: IC-7300","Ant: 6 el. LFA","ASL(m): 85","",
"SO 50 MHz","50 MHz","77","0","DN4DI","JO41FD","119958","100","113325","94","","5,5 %","2","1,7 %","0,0 %","0,0 %","US4MAO","2215","0","PWR(W): 500","TRX:","Ant: LOG Per","ASL(m): 766","",
"SO 50 MHz","50 MHz","78","0","SC6O","JO68VI","122011","80","112461","74","","7,8 %","0","0,0 %","100,0 %","0,0 %","SV2AEL","2087","0","PWR(W): 100","TRX:","Ant: 5 el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","79","0","EA5RC","JN00AC","119756","85","112305","81","","6,2 %","1","1,4 %","0,0 %","0,0 %","ER5GB","2366","0","PWR(W): 80","TRX: Yaesu FT-736","Ant: DIRECTIVA","ASL(m): 650","",
"SO 50 MHz","50 MHz","80","0","EB5HRX","IM99TL","113122","83","111311","82","","1,6 %","0","0,0 %","0,0 %","0,0 %","YO7CWP","2063","0","PWR(W): 100","TRX:","Ant: 2 ELEM.","ASL(m):","",
"SO 50 MHz","50 MHz","81","0","S52F","JN76OH","113751","137","108025","129","","5,0 %","2","2,6 %","40,3 %","0,0 %","EA8CTK","3432","0","PWR(W): 100","TRX: FT DX 5000","Ant: 2 x 7 el Yagi","ASL(m): 0","",
"SO 50 MHz","50 MHz","82","0","UR5RP","KO51QM","125731","93","107426","81","","14,6 %","0","0,0 %","0,0 %","0,0 %","EA3LA","2378","0","PWR(W): 100","TRX:","Ant: 4 el yagi","ASL(m):","",
"SO 50 MHz","50 MHz","83","0","G4NBS","JO02AF","109173","105","107267","103","","1,7 %","1","0,2 %","7,8 %","0,0 %","VO1FOG","3768","0","PWR(W): 100","TRX: K3","Ant: 5ele","ASL(m): 60","",
"SO 50 MHz","50 MHz","84","0","HB9KAB","JN37SH","110301","119","107242","116","","2,8 %","2","0,1 %","6,9 %","0,0 %","UX3IW","2252","0","PWR(W): 100","TRX:","Ant: 5el. Yagi","ASL(m): 1196","",
"SO 50 MHz","50 MHz","85","0","LZ2GA","KN43EK","122114","88","104622","76","","14,3 %","2","3,2 %","78,9 %","0,0 %","TM87C","2169","0","PWR(W): 1000","TRX:","Ant: 6el YAGI","ASL(m): 124","",
"SO 50 MHz","50 MHz","86","0","OE3EFS","JN78TF","108073","87","104111","84","","3,7 %","2","2,8 %","0,0 %","0,0 %","EA4WF","1761","0","PWR(W): 100","TRX:","Ant: 4El. Yagi","ASL(m): 270","",
"SO 50 MHz","50 MHz","87","0","OE3FKS/P","JN88DB","119341","107","104016","96","","12,8 %","2","2,9 %","0,0 %","0,0 %","EI8KN","1735","0","PWR(W): 1000","TRX:","Ant: 5 EL","ASL(m): 200","",
"SO 50 MHz","50 MHz","88","0","IW2DOY","JN45NJ","105915","112","103354","108","","2,4 %","0","0,0 %","0,0 %","0,0 %","OH5Z","2048","0","PWR(W): 500","TRX:","Ant: 5 el i0jxx","ASL(m): 100","",
"SO 50 MHz","50 MHz","89","0","YO7BM","KN24KU","119116","93","102623","81","","13,8 %","2","2,2 %","0,0 %","0,0 %","ED5R","2142","0","PWR(W): 500","TRX:","Ant: YAGI 3 EL.","ASL(m): 333","",
