"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","60","0","IK3TPP","JN65CP","4728","25","4716","24","","0,3 %","0","0,0 %","4,2 %","0,0 %","OL9W","620","0","PWR(W): 100","TRX: IC 9700","Ant: 36 el I0JXX","ASL(m): 8","",
"SO 1.3 GHz","1.3 GHz","60","0","OK5SE","JN89GF","4986","28","4716","27","","5,4 %","0","0,0 %","74,1 %","0,0 %","IK3GHY","522","0","PWR(W): 10","TRX: FT-736R","Ant: 35 el. Yagi","ASL(m): 275","",
"SO 1.3 GHz","1.3 GHz","62","0","DF8IU","JN49QM","5266","27","4656","26","","11,6 %","0","0,0 %","15,4 %","0,0 %","OE5VRL","379","0","PWR(W): 10","TRX:","Ant: 48 el. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","63","0","DJ7JM","JN48RR","4367","23","4367","23","","0,0 %","2","1,1 %","21,7 %","0,0 %","OL9W","643","0","PWR(W): 80","TRX:","Ant: SHF-9644","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","64","0","DL2HSX","JO50VX","4341","28","4311","27","","0,7 %","0","0,0 %","0,0 %","0,0 %","OL9W","486","0","PWR(W): 10","TRX:","Ant: 23-El-Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","65","0","DH7FFE","JO40FC","5308","27","4295","25","","19,1 %","1","2,1 %","24,0 %","0,0 %","OK1KKL","488","0","PWR(W): 120","TRX:","Ant: 48 El Yagi","ASL(m): 132","",
"SO 1.3 GHz","1.3 GHz","66","0","OK1DCI","JO70EB","4798","34","4273","31","","10,9 %","1","0,0 %","9,7 %","0,0 %","OM3RBS","376","0","PWR(W): 50","TRX: TS790","Ant: F9FT 35el","ASL(m): 315","",
"SO 1.3 GHz","1.3 GHz","67","0","DL4MW","JO50KQ","4719","17","4179","16","","11,4 %","0","0,0 %","50,0 %","0,0 %","OM6A","594","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","68","0","DL6JZ","JO60OM","4023","31","4023","31","","0,0 %","1","4,9 %","0,0 %","0,0 %","OM6A","431","0","PWR(W): 100","TRX:","Ant: 1.5 mtr dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","69","0","DC3XQ","JO53AO","3990","19","3990","19","","0,0 %","2","0,9 %","0,0 %","0,0 %","OK2M","516","0","PWR(W): 160","TRX:","Ant: 14-Elemente Yagi YA130014E","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","70","0","DB3LO","JO51MV","3967","26","3967","26","","0,0 %","0","0,0 %","30,8 %","0,0 %","OL9W","572","0","PWR(W): 10","TRX:","Ant: 20el Yagi","ASL(m):","",
