"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","53","0","OK2DGB","JN79RL","5815","37","5815","37","","0,0 %","0","0,0 %","35,1 %","0,0 %","DL6SH","434","0","PWR(W): 100","TRX: IC9700+PA+LNA","Ant: Helical 12","ASL(m): 700","",
"SO 1.3 GHz","1.3 GHz","54","0","DL6ZXG","JO51KU","5779","30","5779","30","","0,0 %","0","0,0 %","23,3 %","0,0 %","OM6A","638","0","PWR(W): 20","TRX:","Ant: 44 Element","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","55","0","DH2UAK","JO71FU","6471","28","5665","25","","12,5 %","0","0,0 %","0,0 %","0,0 %","OE3JPC","457","0","PWR(W): 100","TRX:","Ant: 2x67","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","56","0","OK2IT","JN89DG","5988","34","5212","31","","13,0 %","0","0,0 %","67,7 %","0,0 %","YP2DX","512","0","PWR(W): 100","TRX: IC7100 + XVTR","Ant: 28el","ASL(m): 500","",
"SO 1.3 GHz","1.3 GHz","57","0","OK1ELE","JO60LJ","5086","34","4944","32","","2,8 %","0","0,0 %","0,0 %","0,0 %","OM5AW","435","0","PWR(W): 10","TRX: IC910","Ant: 26EL DL6WU","ASL(m):  1244","",
"SO 1.3 GHz","1.3 GHz","58","0","DL2YDS","JO42BC","5385","28","4901","27","","9,0 %","0","0,0 %","14,8 %","0,0 %","OK1KUO","617","0","PWR(W): 90","TRX:","Ant: 26 Elm. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","59","0","OK2PNQ","JN89LE","5455","33","4707","30","","13,7 %","0","0,0 %","83,3 %","0,0 %","YP2DX","473","0","PWR(W): 15","TRX:","Ant: 37el.loop Yagi","ASL(m): 260","",
"SO 1.3 GHz","1.3 GHz","60","0","DN5PW","JO50LQ","4605","17","4605","17","","0,0 %","0","0,0 %","23,5 %","0,0 %","OM6A","588","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","61","0","DG0OGJ","JO50KQ","4596","20","4531","19","","1,4 %","0","0,0 %","47,4 %","0,0 %","OM6A","594","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","62","0","OK5SE","JN89GF","4438","26","4438","26","","0,0 %","0","0,0 %","76,9 %","0,0 %","IK3GHY","522","0","PWR(W): 10","TRX:","Ant: 35Y","ASL(m): 275","",
"SO 1.3 GHz","1.3 GHz","63","0","HB9BAT","JN37RF","4387","20","4387","20","","0,0 %","4","3,0 %","40,0 %","0,0 %","S59P","656","0","PWR(W): 60","TRX:","Ant: 90cm Parabol","ASL(m): 600","",
"SO 1.3 GHz","1.3 GHz","64","0","OK1VAV","JN79FW","4591","30","4273","29","","6,9 %","0","0,0 %","3,4 %","0,0 %","HG7F","406","0","PWR(W): 50","TRX: IC-9100","Ant: 1,6m dish","ASL(m): 361","",
"SO 1.3 GHz","1.3 GHz","65","0","DL6KDS","JO50KQ","4460","15","4260","14","","4,5 %","0","0,0 %","57,1 %","0,0 %","OM6A","594","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","66","0","DB3LO","JO51MV","4221","24","4221","24","","0,0 %","0","0,0 %","37,5 %","0,0 %","OM6A","630","0","PWR(W): 10","TRX:","Ant: 20el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","67","0","DH1AKY","JO50LQ","5621","21","3995","17","","28,9 %","0","0,0 %","41,2 %","0,0 %","OM6A","588","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","68","0","SP9SOO","JN99OV","4207","23","3937","21","","6,4 %","2","0,7 %","0,0 %","0,0 %","DK0NA","543","0","PWR(W): 50","TRX:","Ant: DISH 0,9m","ASL(m): 270","",
"SO 1.3 GHz","1.3 GHz","69","0","DG0PF","JO50LQ","3796","16","3796","16","","0,0 %","0","0,0 %","0,0 %","0,0 %","OM6A","588","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","70","0","DL3YCW","JO42HA","3730","18","3690","17","","1,1 %","0","0,0 %","17,6 %","0,0 %","OM3KII","733","0","PWR(W): 80","TRX:","Ant: 2 x 45 Ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","71","0","DJ4WT","JN49EL","4037","10","3594","9","","11,0 %","0","0,0 %","55,6 %","0,0 %","OM6A","757","0","PWR(W): 200","TRX:","Ant: 44 el.","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","72","0","OK1DCI","JO70EB","4138","36","3546","32","","14,3 %","0","0,0 %","28,1 %","0,0 %","OM6A","336","0","PWR(W): 50","TRX: TS790","Ant: F9FT 35el","ASL(m): 315","",
"SO 1.3 GHz","1.3 GHz","73","0","PE1ITR","JO21QK","4540","17","3520","13","","22,5 %","1","5,9 %","15,4 %","0,0 %","DM5D","546","0","PWR(W): 40","TRX: FT817 + TRV","Ant: 26el","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","74","0","SP8XXN","KO02LC","3441","11","3441","11","","0,0 %","0","0,0 %","0,0 %","0,0 %","HA5UA","518","0","PWR(W): 50","TRX:","Ant: 35 elements","ASL(m): 120","",
"SO 1.3 GHz","1.3 GHz","75","0","HB9MDP","JN47OG","3426","20","3426","20","","0,0 %","2","5,5 %","0,0 %","0,0 %","DM5D","516","0","PWR(W): 15","TRX:","Ant: 38El Yagi","ASL(m): 1520","",
"SO 1.3 GHz","1.3 GHz","76","0","IK4DCX","JN64GB","3844","11","3355","10","","12,7 %","0","0,0 %","90,0 %","0,0 %","YU1LA","634","0","PWR(W): 25","TRX: IC 9700","Ant: 36el.","ASL(m): 0","",
"SO 1.3 GHz","1.3 GHz","77","0","DM3CW/P","JO71DO","3280","17","3184","16","","2,9 %","0","0,0 %","31,3 %","0,0 %","OM6A","424","0","PWR(W): 10","TRX:","Ant: 20 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","78","0","DL6CGN","JO51KW","3235","22","2985","20","","7,7 %","1","0,7 %","20,0 %","0,0 %","OK2KYZ","485","0","PWR(W): 100","TRX:","Ant: Parabol","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","79","0","HA9MDN/P","JN86PX","3543","18","2978","14","","15,9 %","0","0,0 %","85,7 %","0,0 %","IK3GHY","418","0","PWR(W): 25","TRX: IC-275E+TRV","Ant: 47 el DJ9YW","ASL(m): 225","",
"SO 1.3 GHz","1.3 GHz","80","0","DL6GCK","JN47OR","4526","18","2950","15","","34,8 %","0","0,0 %","0,0 %","0,0 %","S59P","532","0","PWR(W): 50","TRX:","Ant: 67-element Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","81","0","LZ2QA","KN43EK","2867","13","2867","13","","0,0 %","0","0,0 %","15,4 %","0,0 %","R7TD","430","0","PWR(W): 10","TRX:","Ant: YAGI 70el.","ASL(m): 130","",
"SO 1.3 GHz","1.3 GHz","82","0","DL4SBK","JN48PV","3194","17","2864","16","","10,3 %","0","0,0 %","6,3 %","0,0 %","IK3GHY","439","0","PWR(W): 0","TRX:","Ant: 37 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","83","0","9A3JN","JN85EL","2676","13","2601","12","","2,8 %","0","0,0 %","50,0 %","0,0 %","OK1KUO","529","0","PWR(W): 10","TRX: LT23S","Ant: 45el LOOP","ASL(m): 124","",
"SO 1.3 GHz","1.3 GHz","84","0","OK1EM","JO70CN","2583","21","2583","21","","0,0 %","0","0,0 %","33,3 %","0,0 %","OM5AW","374","0","PWR(W): 5","TRX: TRCVR","Ant: 10 dB","ASL(m): 260","",
"SO 1.3 GHz","1.3 GHz","85","0","OK1JFP","JO60XS","2668","29","2567","27","","3,8 %","0","0,0 %","33,3 %","0,0 %","DM7D","190","0","PWR(W): 10","TRX:","Ant: SBF by OK2JI","ASL(m): 690","",
"SO 1.3 GHz","1.3 GHz","86","0","S51BW/P","JN76KK","3262","17","2475","14","","24,1 %","0","0,0 %","78,6 %","0,0 %","YU1LA","475","0","PWR(W): 1","TRX:","Ant: 23 el. disc yagi","ASL(m): 1576","",
"SO 1.3 GHz","1.3 GHz","86","0","DD8DW","JO31WO","3307","15","2475","13","","25,2 %","0","0,0 %","0,0 %","0,0 %","OK1KUO","621","0","PWR(W): 10","TRX:","Ant: SHF2367","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","88","0","OK1DGR","JO60XE","2405","18","2405","18","","0,0 %","0","0,0 %","50,0 %","0,0 %","OM6A","369","0","PWR(W): 2,5","TRX: FT817 + TRV","Ant: Yagi 15 el.","ASL(m): 395","",
"SO 1.3 GHz","1.3 GHz","89","0","DL9MKA","JO51SW","2313","19","2313","19","","0,0 %","0","0,0 %","15,8 %","0,0 %","OM3KII","556","0","PWR(W): 10","TRX:","Ant: 17 el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","90","0","OM2RC","JN88OQ","2578","19","2305","18","","10,6 %","0","0,0 %","77,8 %","0,0 %","OK1PGS","298","0","PWR(W): 10","TRX: FT290R+transvertor","Ant: parabola","ASL(m): 306","",
"SO 1.3 GHz","1.3 GHz","91","0","HA3FMR","JN97NM","2520","11","2290","10","","9,1 %","0","0,0 %","90,0 %","0,0 %","OK1PGS","486","0","PWR(W): 100","TRX:","Ant: 56 el. Yagi","ASL(m): 125","",
"SO 1.3 GHz","1.3 GHz","92","0","DF6WE","JO31GO","2798","15","2124","13","","24,1 %","0","0,0 %","7,7 %","0,0 %","DM5D","467","0","PWR(W): 50","TRX:","Ant: 2m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","93","0","OK1TRJ","JN79MD","2256","13","2122","12","","5,9 %","0","0,0 %","50,0 %","0,0 %","DG5NFF","377","0","PWR(W): 200","TRX:","Ant: 18el Yagi","ASL(m): 500","",
"SO 1.3 GHz","1.3 GHz","94","0","OL4N","JO60VR","2263","24","2080","23","","8,1 %","0","0,0 %","26,1 %","0,0 %","OK1KUO","197","0","PWR(W): 10","TRX: IC9700","Ant: 28el Yagi","ASL(m): 870","",
"SO 1.3 GHz","1.3 GHz","95","0","OE3MDB","JN88JB","2074","12","2074","12","","0,0 %","0","0,0 %","0,0 %","0,0 %","IK3GHY","445","0","PWR(W): 10","TRX:","Ant: 18 El","ASL(m): 150","",
"SO 1.3 GHz","1.3 GHz","95","0","DF8V","JN39LH","2074","7","2074","7","","0,0 %","0","0,0 %","42,9 %","0,0 %","OK2M","489","0","PWR(W): 750","TRX:","Ant: 4 x 7 Ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","97","0","DJ6TA","JO30MS","2060","19","2060","19","","0,0 %","0","0,0 %","0,0 %","0,0 %","DK0NA","328","0","PWR(W): 80","TRX:","Ant: 1,2m-Parabol","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","98","0","DL5ALW","JO51PD","2010","11","2010","11","","0,0 %","0","0,0 %","0,0 %","0,0 %","OK1KUO","378","0","PWR(W): 10","TRX:","Ant: 35 El Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","99","0","DK5TI","JO50LQ","1932","12","1932","12","","0,0 %","0","0,0 %","16,7 %","0,0 %","OM3KII","526","0","PWR(W): 200","TRX:","Ant: Dish 1m","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","100","0","DH2PA","JN49AE","1916","9","1916","9","","0,0 %","1","0,4 %","0,0 %","0,0 %","OM3KII","706","0","PWR(W): 10","TRX:","Ant: 25eleYagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","101","0","IK3VZO","JN55XA","3082","4","1844","3","","40,2 %","0","0,0 %","100,0 %","0,0 %","DG5NFF","634","0","PWR(W): 100","TRX: FT817+TRV","Ant: 55el F9FT","ASL(m): 7","",
"SO 1.3 GHz","1.3 GHz","102","0","DL2DRG","JO70IT","2032","20","1812","18","","10,8 %","1","0,4 %","33,3 %","0,0 %","DK0NA","224","0","PWR(W): 20","TRX:","Ant: 26 El.Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","103","0","DL5DRG","JO61VA","2045","15","1789","13","","12,5 %","0","0,0 %","46,2 %","0,0 %","OM6A","416","0","PWR(W): 10","TRX:","Ant: 23 El. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","104","0","S58RU","JN65WM","1667","10","1667","10","","0,0 %","0","0,0 %","20,0 %","0,0 %","DK0NA","563","0","PWR(W): 120","TRX: Yaesu FT-736R+Proco PL-12120","Ant: Flexa Yagi FX2317","ASL(m): 275","",
"SO 1.3 GHz","1.3 GHz","105","0","DD6ZJ","JO62VO","1651","10","1651","10","","0,0 %","0","0,0 %","0,0 %","0,0 %","DG5NFF","329","0","PWR(W): 10","TRX:","Ant: 28el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","106","0","YO9AYN","KN24SW","1642","9","1642","9","","0,0 %","1","17,0 %","0,0 %","0,0 %","YP2DX","389","0","PWR(W): 100","TRX:","Ant: 49 el Yagi","ASL(m): 240","",
"SO 1.3 GHz","1.3 GHz","107","0","IW3HXR","JN55QR","1615","9","1615","9","","0,0 %","0","0,0 %","33,3 %","0,0 %","IS0JHQ","568","0","PWR(W): 10","TRX: IC 9700 + TRV","Ant: 1.9 mt dish","ASL(m): 206","",
"SO 1.3 GHz","1.3 GHz","108","0","DM4SWL","JO60UW","1820","15","1610","14","","11,5 %","0","0,0 %","28,6 %","0,0 %","DL1SUZ","323","0","PWR(W): 2","TRX:","Ant: ya-13","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","109","0","DC3XQ","JO53AO","1589","9","1589","9","","0,0 %","0","0,0 %","0,0 %","0,0 %","ON4CJQ/P","460","0","PWR(W): 180","TRX:","Ant: 14-Elemente Yagi YA130014E","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","110","0","SP5IDR","KO01VU","1572","9","1572","9","","0,0 %","0","0,0 %","0,0 %","0,0 %","SN9W","220","0","PWR(W): 10","TRX:","Ant: Yagi 49","ASL(m):","",
